FakeType,N_Fake,AUC,Accuracy,Precision,Recall,F1
Inpainting (SD),4542,0.9994,0.9887,0.9422,0.9936,0.9672
InsightFace (GAN),4440,0.9998,0.9895,0.9412,0.9986,0.9691
Text2Image (SD),4487,0.9993,0.9883,0.9414,0.9913,0.9657
StyleGAN (140k),9026,1.0,0.9912,0.9702,0.9999,0.9848
StyleGAN (CIFAKE),9005,0.999,0.9863,0.9697,0.9828,0.9762
